Time,XPos,ZPos,YRot,Raycast
61.96162,0,0,0,Wound
62.12416,0,0,0,Wound
62.28927,0,0,0,Wound
62.45703,0,0,0,Wound
62.62004,0,0,0,Wound
62.78204,0,0,0,Wound
62.9458,0,0,0,Wound
63.10704,0,0,0,Wound
63.27054,0,0,0,Wound
63.43632,0,0,0,Wound
63.60031,0,0,0,Wound
63.7579,0,0,0,Wound
63.92366,0,0,0,Wound
64.08707,0,0,0,Wound
64.25838,0,0,0,Wound
64.42455,0,0,0,Wound
64.58508,0,0,0,Wound
