Hand,XPos,YPos,ZPos,Time
Left,0.644,0,0,3.722877
Right,0,0,0,3.722877
Left,0.644,0,0,3.745952
Right,0,0,0,3.745952
Left,0.644,0,0,3.768488
Right,0,0,0,3.768488
Left,0.644,0,0,3.788594
Right,0,0,0,3.788594
Left,0.644,0,0,3.808117
Right,0,0,0,3.808117
Left,0.644,0,0,3.828168
Right,0,0,0,3.828168
Left,0.644,0,0,3.849838
Right,0,0,0,3.849838
Left,0.644,0,0,3.877918
Right,0,0,0,3.877918
Left,0.644,0,0,3.89974
Right,0,0,0,3.89974
Left,0.644,0,0,3.920822
Right,0,0,0,3.920822
Left,0.644,0,0,3.943384
Right,0,0,0,3.943384
